event_name,casualties,wounded,killed,city,state,location_type,rifles,shotguns,handguns,explosives,date_time,shooter_age,shooter_gender
"North Milwaukee Avenue, Chicago",0,0,0,Chicago,Illinois,Open Space,0,0,1,0,2015-04-19T23:50:00Z,21,Male
Nu-Wood Decorative Millwork Plant,7,6,1,Goshen,Indiana,Commerce,0,1,0,0,2001-12-06T14:31:00Z,36,Male
Oikos University,10,3,7,Oakland,California,Education,0,0,1,0,2012-04-02T10:30:00Z,43,Male
Omni Austin Hotel Downtown,1,0,1,Austin,Texas,Commerce,1,0,0,0,2015-07-05T04:48:00Z,35,Male
Orange High School and Residence,3,2,1,Hillsborough,North Carolina,Education,2,1,0,3,2006-08-30T13:00:00Z,19,Male
Osborn Maledon Law Firm,3,1,2,Phoenix,Arizona,Commerce,0,0,1,0,2013-01-30T10:45:00Z,70,Male
Panama City School Board Meetings,0,0,0,Panama City,Florida,Education,0,0,1,0,2010-12-14T14:14:00Z,56,Male
Parking Lots for Kellum Law Firm and Walmart,4,4,0,Greenville,North Carolina,Open Space,0,1,0,0,2013-06-21T11:44:00Z,23,Male
Parking Lots in Philadelphia Pennsylvania,2,0,2,Philadelphia,Pennsylvania,Open Space,0,0,1,0,2005-10-07T10:13:00Z,45,Male
Parkwest Medical Center,3,2,1,Knoxville,Tennessee,Health Care,0,0,1,0,2010-04-19T04:30:00Z,38,Male
Pathmark Supermarket,2,0,2,Old Bridge,New Jersey,Commerce,1,0,1,0,2012-08-31T04:00:00Z,23,Male
Pennsylvania Municipal Building,5,2,3,Saylorsburg,Pennsylvania,Government,1,0,1,0,2013-08-05T19:19:00Z,59,Male
Penske Truck Rental,5,2,3,Kennesaw,Georgia,Commerce,0,0,2,0,2010-01-12T14:00:00Z,60,Male
Perry Hall High School,1,1,0,Baltimore,Maryland,Education,0,1,0,0,2012-08-27T10:45:00Z,15,Male
Pine Kirk Care Center,3,0,3,Kirkersville,Ohio,Health Care,0,1,1,0,2017-05-12T07:30:00Z,43,Male
Pine Middle School,2,2,0,Reno,Nevada,Education,0,0,1,0,2006-03-14T09:00:00Z,14,Male
Pinelake Health and Rehabilitiation Center,11,3,8,Carthage,North Carolina,Health Care,1,1,1,0,2009-03-29T10:00:00Z,45,Male
Pinewood Village Apartments,4,0,4,Federal Way,Washington,Residence,0,1,1,0,2013-04-21T21:30:00Z,27,Male
Planned Parenthood - Colorado Springs Westside Health Center,12,9,3,Colorado Springs,Colorado,Health Care,1,0,0,0,2015-11-27T11:38:00Z,57,Male
Player's Bar and  Grill,4,2,2,Winnemucca,Nevada,Commerce,0,0,1,0,2008-05-25T02:25:00Z,30,Male
Prince George's County Police Department District 3 Station,1,0,1,Landover,Maryland,Government,0,0,1,0,2016-03-13T16:30:00Z,22,Male
Private Property near Meteor Wisconsin,8,2,6,Meteor,Wisconsin,Open Space,1,0,0,0,2004-11-21T12:00:00Z,36,Male
Protest in Dallas Texas,16,11,5,Dallas,Texas,Open Space,2,0,1,0,2016-07-07T21:00:00Z,25,Male
Publix Super Market,1,0,1,Tarpon Springs,Florida,Commerce,0,0,1,0,2010-03-30T12:00:00Z,41,Female
Pulse Nightclub,102,53,49,Orlando,Florida,Commerce,1,0,1,0,2016-06-12T02:02:00Z,29,Male
Radio Shack in Gateway Mall,3,1,2,St. Petersburg,Florida,Commerce,0,0,1,0,2004-11-18T18:45:00Z,25,Male
"Rancho Tehama Elementary School and Multiple Locations in Tehama County, California",19,14,5,Rancho Tehama Reserve,California,Education,1,0,2,0,2017-11-14T07:53:00Z,44,Male
Red Lake High School and Residence,15,6,9,Red Lake,Minnesota,Education,0,1,2,0,2005-03-21T14:49:00Z,16,Male
Red Lion Junior High School,1,0,1,Red Lion,Pennsylvania,Education,0,0,3,0,2003-04-24T07:34:00Z,14,Male
