Active Shooter Event,Active Shooter Casualties,Active Shooter Wounded,Active Shooter Killed,City,State,Location Type,Rifles,Shotguns,Handguns,Explosives,Date,Time ,Age of Shooter,Gender of Shooter
"Neighborhood in Tallahassee, Florida",2,1,1,Tallahassee,Florida,Residence,0,0,1,0,11/22/2014,10:15:00 AM,53,Male
New Hope City Hall,4,4,0,New Hope,Minnesota,Government,0,1,0,0,1/26/2015,7:15:00 PM,68,Male
"New River Community College, Satellite Campus",2,2,0,Christiansburg,Virgina,Education,0,1,0,0,4/12/2013,1:55:00 PM,22,Male
Noblesville West Middle School,2,2,0,Noblesville,Indiana,Education,0,0,2,0,5/25/2018,9:06:00 AM,13,Male
"North Milwaukee Avenue, Chicago",0,0,0,Chicago,Illinois,Open Space,0,0,1,0,4/19/2015,11:50:00 PM,21,Male
Nu-Wood Decorative Millwork Plant,7,6,1,Goshen,Indiana,Commerce,0,1,0,0,12/6/2001,2:31:00 PM,36,Male
Oikos University,10,3,7,Oakland,California,Education,0,0,1,0,4/2/2012,10:30:00 AM,43,Male
Omni Austin Hotel Downtown,1,0,1,Austin,Texas,Commerce,1,0,0,0,7/5/2015,4:48:00 AM,35,Male
Orange High School and Residence,3,2,1,Hillsborough,North Carolina,Education,2,1,0,3,8/30/2006,1:00:00 PM,19,Male
Osborn Maledon Law Firm,3,1,2,Phoenix,Arizona,Commerce,0,0,1,0,1/30/2013,10:45:00 AM,70,Male
Panama City School Board Meetings,0,0,0,Panama City,Florida,Education,0,0,1,0,12/14/2010,2:14:00 PM,56,Male
Parking Lots for Kellum Law Firm and Walmart,4,4,0,Greenville,North Carolina,Open Space,0,1,0,0,6/21/2013,11:44:00 AM,23,Male
Parking Lots in Philadelphia Pennsylvania,2,0,2,Philadelphia,Pennsylvania,Open Space,0,0,1,0,10/7/2005,10:13:00 AM,45,Male
Parkwest Medical Center,3,2,1,Knoxville,Tennessee,Health Care,0,0,1,0,4/19/2010,4:30:00 AM,38,Male
